"neighbortype","time.daysperweek","access","Freq"
"41","Larger city or urban center (e.g., Syracuse, NYC)","3","2",1
"42","Rural area","3","2",4
"43","Small town or village (e.g., Trumansburg, Lansing)","3","2",5
"44","Smaller city or urban center (e.g. Ithaca, Elmira)","3","2",0
"45","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","3","2",1
"46","Larger city or urban center (e.g., Syracuse, NYC)","4","2",0
"47","Rural area","4","2",3
"48","Small town or village (e.g., Trumansburg, Lansing)","4","2",2
"49","Smaller city or urban center (e.g. Ithaca, Elmira)","4","2",1
"50","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","4","2",0
"51","Larger city or urban center (e.g., Syracuse, NYC)","0","3",0
"52","Rural area","0","3",0
"53","Small town or village (e.g., Trumansburg, Lansing)","0","3",0
"54","Smaller city or urban center (e.g. Ithaca, Elmira)","0","3",1
"55","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","0","3",0
"56","Larger city or urban center (e.g., Syracuse, NYC)","1","3",2
"57","Rural area","1","3",0
"58","Small town or village (e.g., Trumansburg, Lansing)","1","3",2
"59","Smaller city or urban center (e.g. Ithaca, Elmira)","1","3",4
"60","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","1","3",3
"61","Larger city or urban center (e.g., Syracuse, NYC)","2","3",2
"62","Rural area","2","3",9
"63","Small town or village (e.g., Trumansburg, Lansing)","2","3",9
"64","Smaller city or urban center (e.g. Ithaca, Elmira)","2","3",5
"65","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","2","3",3
"66","Larger city or urban center (e.g., Syracuse, NYC)","3","3",0
"67","Rural area","3","3",4
"68","Small town or village (e.g., Trumansburg, Lansing)","3","3",10
"69","Smaller city or urban center (e.g. Ithaca, Elmira)","3","3",6
"70","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","3","3",6
"71","Larger city or urban center (e.g., Syracuse, NYC)","4","3",1
"72","Rural area","4","3",2
"73","Small town or village (e.g., Trumansburg, Lansing)","4","3",4
"74","Smaller city or urban center (e.g. Ithaca, Elmira)","4","3",2
"75","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","4","3",2
"76","Larger city or urban center (e.g., Syracuse, NYC)","0","4",0
"77","Rural area","0","4",0
"78","Small town or village (e.g., Trumansburg, Lansing)","0","4",0
"79","Smaller city or urban center (e.g. Ithaca, Elmira)","0","4",0
"80","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","0","4",0
"81","Larger city or urban center (e.g., Syracuse, NYC)","1","4",0
"82","Rural area","1","4",2
"83","Small town or village (e.g., Trumansburg, Lansing)","1","4",2
"84","Smaller city or urban center (e.g. Ithaca, Elmira)","1","4",6
"85","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","1","4",1
"86","Larger city or urban center (e.g., Syracuse, NYC)","2","4",0
"87","Rural area","2","4",5
"88","Small town or village (e.g., Trumansburg, Lansing)","2","4",4
"89","Smaller city or urban center (e.g. Ithaca, Elmira)","2","4",9
"90","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","2","4",1
"91","Larger city or urban center (e.g., Syracuse, NYC)","3","4",1
"92","Rural area","3","4",7
"93","Small town or village (e.g., Trumansburg, Lansing)","3","4",7
"94","Smaller city or urban center (e.g. Ithaca, Elmira)","3","4",8
"95","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","3","4",4
"96","Larger city or urban center (e.g., Syracuse, NYC)","4","4",1
"97","Rural area","4","4",9
"98","Small town or village (e.g., Trumansburg, Lansing)","4","4",3
"99","Smaller city or urban center (e.g. Ithaca, Elmira)","4","4",6
"100","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","4","4",3
"101","Larger city or urban center (e.g., Syracuse, NYC)","0","5",0
"102","Rural area","0","5",0
"103","Small town or village (e.g., Trumansburg, Lansing)","0","5",0
"104","Smaller city or urban center (e.g. Ithaca, Elmira)","0","5",0
"105","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","0","5",0
"106","Larger city or urban center (e.g., Syracuse, NYC)","1","5",0
"107","Rural area","1","5",1
"108","Small town or village (e.g., Trumansburg, Lansing)","1","5",0
"109","Smaller city or urban center (e.g. Ithaca, Elmira)","1","5",3
"110","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","1","5",0
"111","Larger city or urban center (e.g., Syracuse, NYC)","2","5",1
"112","Rural area","2","5",8
"113","Small town or village (e.g., Trumansburg, Lansing)","2","5",6
"114","Smaller city or urban center (e.g. Ithaca, Elmira)","2","5",6
"115","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","2","5",3
"116","Larger city or urban center (e.g., Syracuse, NYC)","3","5",0
"117","Rural area","3","5",4
"118","Small town or village (e.g., Trumansburg, Lansing)","3","5",4
"119","Smaller city or urban center (e.g. Ithaca, Elmira)","3","5",11
"120","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","3","5",8
"121","Larger city or urban center (e.g., Syracuse, NYC)","4","5",0
"122","Rural area","4","5",11
"123","Small town or village (e.g., Trumansburg, Lansing)","4","5",9
"124","Smaller city or urban center (e.g. Ithaca, Elmira)","4","5",7
"125","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","4","5",2
"126","Larger city or urban center (e.g., Syracuse, NYC)","0","6",0
"127","Rural area","0","6",0
"128","Small town or village (e.g., Trumansburg, Lansing)","0","6",1
"129","Smaller city or urban center (e.g. Ithaca, Elmira)","0","6",0
"130","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","0","6",0
"131","Larger city or urban center (e.g., Syracuse, NYC)","1","6",0
"132","Rural area","1","6",0
"133","Small town or village (e.g., Trumansburg, Lansing)","1","6",1
"134","Smaller city or urban center (e.g. Ithaca, Elmira)","1","6",2
"135","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","1","6",0
"136","Larger city or urban center (e.g., Syracuse, NYC)","2","6",0
"137","Rural area","2","6",2
"138","Small town or village (e.g., Trumansburg, Lansing)","2","6",7
"139","Smaller city or urban center (e.g. Ithaca, Elmira)","2","6",3
"140","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","2","6",0
"141","Larger city or urban center (e.g., Syracuse, NYC)","3","6",0
"142","Rural area","3","6",8
"143","Small town or village (e.g., Trumansburg, Lansing)","3","6",11
"144","Smaller city or urban center (e.g. Ithaca, Elmira)","3","6",14
"145","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","3","6",3
"146","Larger city or urban center (e.g., Syracuse, NYC)","4","6",0
"147","Rural area","4","6",5
"148","Small town or village (e.g., Trumansburg, Lansing)","4","6",2
"149","Smaller city or urban center (e.g. Ithaca, Elmira)","4","6",6
"150","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","4","6",5
"151","Larger city or urban center (e.g., Syracuse, NYC)","0","7",0
"152","Rural area","0","7",0
"153","Small town or village (e.g., Trumansburg, Lansing)","0","7",0
"154","Smaller city or urban center (e.g. Ithaca, Elmira)","0","7",0
"155","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","0","7",0
"156","Larger city or urban center (e.g., Syracuse, NYC)","1","7",0
"157","Rural area","1","7",0
"158","Small town or village (e.g., Trumansburg, Lansing)","1","7",1
"159","Smaller city or urban center (e.g. Ithaca, Elmira)","1","7",0
"160","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","1","7",1
"161","Larger city or urban center (e.g., Syracuse, NYC)","2","7",0
"162","Rural area","2","7",3
"163","Small town or village (e.g., Trumansburg, Lansing)","2","7",2
"164","Smaller city or urban center (e.g. Ithaca, Elmira)","2","7",1
"165","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","2","7",0
"166","Larger city or urban center (e.g., Syracuse, NYC)","3","7",0
"167","Rural area","3","7",4
"168","Small town or village (e.g., Trumansburg, Lansing)","3","7",7
"169","Smaller city or urban center (e.g. Ithaca, Elmira)","3","7",4
"170","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","3","7",1
"171","Larger city or urban center (e.g., Syracuse, NYC)","4","7",0
"172","Rural area","4","7",10
"173","Small town or village (e.g., Trumansburg, Lansing)","4","7",0
"174","Smaller city or urban center (e.g. Ithaca, Elmira)","4","7",2
"175","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","4","7",1
"176","Larger city or urban center (e.g., Syracuse, NYC)","0","8",0
"177","Rural area","0","8",0
"178","Small town or village (e.g., Trumansburg, Lansing)","0","8",0
"179","Smaller city or urban center (e.g. Ithaca, Elmira)","0","8",0
"180","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","0","8",0
"181","Larger city or urban center (e.g., Syracuse, NYC)","1","8",0
"182","Rural area","1","8",0
"183","Small town or village (e.g., Trumansburg, Lansing)","1","8",0
"184","Smaller city or urban center (e.g. Ithaca, Elmira)","1","8",0
"185","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","1","8",0
"186","Larger city or urban center (e.g., Syracuse, NYC)","2","8",0
"187","Rural area","2","8",1
"188","Small town or village (e.g., Trumansburg, Lansing)","2","8",1
"189","Smaller city or urban center (e.g. Ithaca, Elmira)","2","8",3
"190","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","2","8",4
"191","Larger city or urban center (e.g., Syracuse, NYC)","3","8",0
"192","Rural area","3","8",2
"193","Small town or village (e.g., Trumansburg, Lansing)","3","8",4
"194","Smaller city or urban center (e.g. Ithaca, Elmira)","3","8",2
"195","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","3","8",1
"196","Larger city or urban center (e.g., Syracuse, NYC)","4","8",0
"197","Rural area","4","8",3
"198","Small town or village (e.g., Trumansburg, Lansing)","4","8",4
"199","Smaller city or urban center (e.g. Ithaca, Elmira)","4","8",6
"200","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","4","8",1
"201","Larger city or urban center (e.g., Syracuse, NYC)","0","9",0
"202","Rural area","0","9",0
"203","Small town or village (e.g., Trumansburg, Lansing)","0","9",0
"204","Smaller city or urban center (e.g. Ithaca, Elmira)","0","9",0
"205","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","0","9",0
"206","Larger city or urban center (e.g., Syracuse, NYC)","1","9",0
"207","Rural area","1","9",0
"208","Small town or village (e.g., Trumansburg, Lansing)","1","9",0
"209","Smaller city or urban center (e.g. Ithaca, Elmira)","1","9",0
"210","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","1","9",0
"211","Larger city or urban center (e.g., Syracuse, NYC)","2","9",0
"212","Rural area","2","9",0
"213","Small town or village (e.g., Trumansburg, Lansing)","2","9",0
"214","Smaller city or urban center (e.g. Ithaca, Elmira)","2","9",0
"215","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","2","9",0
"216","Larger city or urban center (e.g., Syracuse, NYC)","3","9",0
"217","Rural area","3","9",0
"218","Small town or village (e.g., Trumansburg, Lansing)","3","9",0
"219","Smaller city or urban center (e.g. Ithaca, Elmira)","3","9",0
"220","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","3","9",0
"221","Larger city or urban center (e.g., Syracuse, NYC)","4","9",0
"222","Rural area","4","9",0
"223","Small town or village (e.g., Trumansburg, Lansing)","4","9",0
"224","Smaller city or urban center (e.g. Ithaca, Elmira)","4","9",0
"225","Suburb or just outside an urban center (e.g, Cayuga Heights, East Ithaca)","4","9",0
